100
100
7,11,32,22,46,46,38,11,3,21,36,46,47,31,39,21,38,48,30,38,17,48,2,27,35,26,31,28,28,5,19,35,18,3,7,16,49,48,28,2,19,14,0,18,45,40,41,36,40,21,26,7,21,28,36,7,6,17,35,35,23,6,22,43,9,30,10,8,30,38,13,49,2,13,20,0,5,11,36,45,35,14,5,6,44,41,15,1,9,3,36,34,9,8,29,19,40,39,29,22
29,42,22,32,8,44,34,13,5,22,9,42,36,14,1,30,7,16,31,18,19,19,4,31,30,34,0,22,25,31,45,5,24,19,39,32,13,23,45,20,45,6,13,31,20,14,11,30,30,45,48,2,16,3,33,46,37,35,19,12,16,16,19,42,35,8,24,0,31,22,20,28,28,33,9,1,49,23,31,32,20,31,34,36,34,19,35,23,6,4,38,24,22,7,17,7,16,43,9,49
17,29,28,48,15,37,49,14,12,32,46,32,13,32,21,0,1,6,23,9,12,11,34,34,21,1,43,37,44,2,38,12,31,16,12,46,4,11,13,18,45,9,3,10,42,24,10,45,30,36,5,44,49,39,28,20,42,23,9,38,25,48,2,8,14,14,7,20,27,20,41,24,31,44,35,25,18,47,21,0,35,28,44,35,19,24,7,11,47,17,1,24,17,4,34,33,20,43,4,48
15,45,22,47,41,9,22,11,9,45,11,44,23,7,31,42,31,39,5,30,8,7,6,27,13,40,10,33,36,16,33,1,13,8,48,4,17,23,15,28,18,28,23,44,35,4,36,18,45,44,0,3,3,6,30,16,49,43,1,35,9,37,36,23,45,37,27,12,12,45,43,30,23,16,24,11,22,13,31,18,7,32,23,12,40,6,28,41,49,31,26,10,18,15,33,13,2,13,28,16
10,23,46,35,39,23,46,13,36,30,33,45,14,7,7,6,15,37,48,16,20,24,26,39,41,12,4,45,25,34,11,35,7,8,20,48,31,19,12,19,1,47,14,17,6,23,23,21,10,21,39,30,48,16,21,39,28,28,35,5,14,46,42,24,6,14,24,39,35,38,8,36,36,24,3,42,49,27,14,11,0,3,44,48,21,15,40,1,45,25,6,12,23,48,36,30,15,12,19,0
1,30,37,37,6,42,29,6,21,45,17,22,1,11,22,22,29,12,24,26,39,32,38,13,33,26,45,48,39,16,48,40,46,37,29,5,30,8,11,1,4,30,25,7,42,0,29,23,14,5,49,4,40,38,19,23,16,16,21,5,32,21,47,31,9,26,36,39,37,47,42,43,27,20,0,21,22,29,44,36,37,44,42,27,34,11,0,0,27,23,8,10,44,5,43,3,32,29,44,21
28,39,14,5,11,14,29,33,45,23,19,32,19,12,11,3,25,13,6,3,36,14,15,33,19,8,38,3,39,33,24,17,24,38,24,35,4,3,18,0,29,39,34,48,1,48,4,27,11,10,32,0,26,49,33,45,9,23,1,48,8,25,15,32,16,39,19,20,45,39,22,24,29,7,24,32,5,30,11,18,40,43,18,16,44,3,14,3,29,15,1,37,42,18,22,10,10,41,33,5
31,5,31,12,14,7,44,21,38,6,40,30,1,10,49,46,16,13,1,45,30,5,32,24,23,4,35,35,48,20,42,31,25,23,43,40,31,39,13,19,47,3,1,49,16,0,47,32,15,48,29,45,5,13,22,31,20,9,16,18,29,9,49,4,34,44,46,15,33,10,36,31,15,38,32,33,40,31,15,6,31,46,3,37,10,25,18,30,34,34,48,15,45,49,20,30,43,18,47,28
30,34,11,48,24,45,31,14,26,49,22,8,45,26,47,5,1,15,37,38,1,37,3,49,36,25,29,31,44,26,12,26,12,23,24,38,19,6,5,45,7,27,5,2,3,2,10,5,19,49,45,23,37,48,22,25,26,1,7,22,29,19,48,44,44,25,32,13,33,37,11,40,15,18,44,18,23,6,25,42,6,22,15,43,23,39,18,49,40,27,21,22,48,21,16,43,48,0,8,31
38,21,21,5,40,18,25,13,24,1,7,30,25,23,25,48,12,46,49,5,23,22,29,22,44,45,15,42,47,25,26,35,47,49,42,37,17,18,2,42,21,9,24,46,34,0,47,47,46,46,4,21,19,33,43,15,30,10,7,27,36,33,15,33,35,9,22,2,27,24,44,48,33,21,47,18,23,44,17,21,40,23,42,11,8,38,26,40,48,36,17,36,21,34,19,6,44,43,9,23
17,5,24,3,26,21,23,1,17,42,22,9,15,15,21,25,3,47,15,3,33,34,40,5,19,11,11,15,5,22,38,22,28,12,27,6,35,0,8,2,44,30,14,9,47,35,34,2,34,49,6,20,34,48,27,5,9,40,22,14,13,10,39,41,25,16,49,12,19,7,17,13,40,31,25,37,18,11,40,2,13,48,24,49,46,1,6,5,42,28,22,7,40,11,0,15,29,49,30,0
7,47,16,47,28,43,36,46,4,28,0,19,26,25,20,22,28,26,30,22,6,2,29,47,15,29,14,44,31,44,47,40,41,13,37,19,6,25,17,12,4,18,32,30,45,4,5,25,31,35,48,37,39,29,36,4,11,1,0,42,47,47,32,41,10,21,12,18,46,30,31,2,0,15,35,47,19,40,22,2,27,22,42,18,2,28,22,15,31,22,7,31,20,41,22,32,12,34,1,10
16,32,15,16,49,0,15,20,42,40,23,21,12,15,39,16,45,13,31,27,35,40,10,7,31,32,40,45,16,43,8,33,27,23,1,26,25,19,46,19,9,21,40,21,36,31,38,32,44,21,11,31,12,21,39,43,5,31,41,23,26,49,8,3,24,10,31,49,29,27,18,38,49,10,11,37,41,1,21,35,23,34,16,37,7,7,30,12,40,23,36,16,22,44,19,46,6,0,47,37
30,17,27,31,27,39,18,18,42,40,3,17,26,22,4,34,31,35,46,22,10,34,38,33,31,8,31,37,10,29,25,40,46,4,21,24,45,42,44,38,34,0,5,10,22,10,44,3,47,43,25,7,29,16,42,10,26,24,0,36,5,27,29,3,31,2,29,27,46,24,17,30,24,22,43,48,34,37,3,33,32,31,43,14,47,35,24,25,11,24,13,16,1,42,22,33,47,1,12,43
27,29,24,3,3,17,3,40,6,7,23,41,40,16,5,39,4,29,14,15,6,27,34,7,22,6,42,19,9,6,12,39,35,38,42,41,7,46,31,14,5,6,7,47,25,12,36,29,43,2,46,49,29,30,9,1,38,3,22,0,10,37,39,47,25,31,38,33,29,21,49,36,28,8,33,3,22,21,34,15,23,30,17,3,13,28,6,1,31,31,1,41,18,42,39,43,26,29,28,5
1,29,44,31,37,29,36,9,1,20,27,24,2,46,29,15,24,38,19,7,19,22,49,37,15,40,32,41,19,11,48,22,42,44,3,32,24,39,43,25,9,20,1,14,16,33,29,42,21,0,0,42,23,1,29,38,41,13,31,12,26,31,37,19,26,40,3,0,30,46,27,41,17,28,5,35,13,37,30,36,37,30,28,10,33,9,0,24,23,33,38,49,15,25,20,41,18,23,43,48
22,20,41,39,0,49,26,14,36,8,0,25,38,29,38,21,40,38,47,15,24,38,17,39,15,37,32,33,13,25,31,35,47,25,26,47,24,4,11,12,13,14,37,3,45,25,25,35,16,24,1,42,14,18,33,30,7,15,13,22,42,47,7,39,22,35,38,48,40,0,10,5,16,49,8,11,27,35,48,45,12,49,37,26,19,22,6,29,37,20,1,31,17,11,22,41,46,10,39,38
12,1,45,28,0,4,41,29,39,40,26,1,41,13,28,13,35,34,42,24,6,45,7,23,6,29,14,5,40,5,45,2,6,41,33,9,45,24,38,36,16,15,40,8,30,18,23,18,4,15,44,13,10,2,38,19,31,3,24,23,8,21,26,17,12,11,26,9,37,16,46,4,31,36,14,14,6,37,34,12,4,28,25,16,30,14,35,12,19,11,37,29,35,13,48,47,26,24,7,14
41,5,20,24,43,34,40,1,23,24,13,27,3,41,43,35,7,31,49,28,44,37,9,29,2,8,29,29,32,38,43,25,43,15,2,38,49,44,39,22,19,2,1,24,45,46,9,4,29,9,32,24,48,42,5,0,0,36,29,34,24,24,12,19,39,14,7,40,8,46,12,29,1,15,3,48,12,15,3,41,26,35,17,24,29,23,24,29,11,6,16,36,30,28,5,22,44,15,12,2
13,27,34,16,44,37,15,6,4,18,0,30,5,17,4,35,42,29,16,4,35,32,42,17,10,49,41,4,14,6,9,28,35,45,44,29,34,11,38,39,29,38,19,35,5,24,22,0,5,38,4,42,21,46,9,33,45,1,40,12,9,1,42,44,46,38,23,30,0,11,19,29,1,41,16,9,17,38,9,22,27,15,14,0,13,25,33,10,28,25,22,37,26,16,31,22,5,7,5,5
20,26,36,22,17,3,31,34,43,42,8,22,7,22,22,22,48,8,32,28,33,7,16,10,23,49,34,28,6,41,35,27,18,24,1,37,27,34,22,22,26,32,45,35,5,19,7,5,27,39,33,13,48,1,23,22,1,9,2,7,1,40,36,21,14,39,8,43,23,32,15,49,15,12,34,22,32,41,29,11,33,14,24,31,16,49,5,17,11,8,26,14,48,15,35,12,6,43,5,30
26,22,29,43,37,16,15,21,9,44,32,42,10,9,26,26,10,31,45,23,39,24,37,39,41,22,3,47,18,10,27,44,33,9,39,20,25,4,43,36,0,25,29,10,36,5,39,49,36,34,22,28,10,10,17,1,34,23,49,2,33,28,48,18,37,37,40,14,41,33,3,43,9,34,4,47,39,45,46,27,29,21,7,40,33,27,43,17,0,44,22,35,23,20,4,12,8,44,29,1
28,32,47,39,16,3,38,7,48,37,36,27,8,46,19,41,23,15,10,25,9,32,10,34,3,14,47,13,11,28,16,39,12,13,30,30,16,18,39,14,5,27,44,13,23,15,6,48,30,17,23,40,1,36,26,6,0,25,19,11,3,38,2,17,1,32,47,18,3,38,34,8,16,30,24,39,46,30,40,28,49,13,20,3,49,47,9,2,22,31,15,28,19,20,45,20,2,45,40,5
33,27,16,1,7,40,41,5,22,31,34,24,46,4,27,48,1,38,2,24,19,17,4,40,37,49,13,42,44,5,49,30,32,17,31,42,9,24,47,34,7,33,8,6,38,37,4,41,25,6,17,47,25,21,37,15,21,0,9,17,6,10,49,40,28,33,34,39,7,32,23,17,17,31,23,5,20,29,49,48,35,16,45,12,38,34,29,11,37,40,30,45,1,30,35,31,13,22,20,22
6,44,39,23,27,14,31,48,43,30,46,30,48,43,45,36,27,24,49,14,15,30,11,18,12,49,49,25,21,21,49,27,15,41,0,45,5,31,43,1,13,41,31,12,34,28,0,13,3,0,30,20,32,41,38,44,40,39,19,11,10,20,38,28,11,41,23,19,22,18,22,38,11,5,2,47,34,2,10,37,4,40,9,36,34,49,30,24,38,1,36,0,22,26,28,35,17,3,6,42
